,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_5000_d_2_seed_0,asc,3,82435.78941155894,0.029914140701293945
1,Syn_n_5000_d_2_seed_0,asc,5,82274.02875432672,0.1775524616241455
2,Syn_n_5000_d_2_seed_0,asc,10,81939.17463681042,0.38596677780151367
3,Syn_n_5000_d_2_seed_0,asc,20,81285.72858847315,0.5465350151062012
