,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_5000_d_2_seed_0,asc,3.0,82435.78941155894,0.029914140701293945
1,Syn_n_5000_d_2_seed_0,asc,5.0,82274.02875432672,0.1775524616241455
2,Syn_n_5000_d_2_seed_0,asc,10.0,81939.17463681042,0.38596677780151367
3,Syn_n_5000_d_2_seed_0,asc,20.0,81285.72858847315,0.5465350151062012
4,Syn_n_5000_d_2_seed_1,asc,3.0,82478.33202095603,0.09378337860107422
5,Syn_n_5000_d_2_seed_1,asc,5.0,82301.59304425876,0.20245885848999023
6,Syn_n_5000_d_2_seed_1,asc,10.0,81865.73804744988,0.3321115970611572
7,Syn_n_5000_d_2_seed_1,asc,20.0,81151.11740169421,0.48769640922546387
8,Syn_n_5000_d_2_seed_2,asc,3.0,83100.15810669726,0.11469602584838867
9,Syn_n_5000_d_2_seed_2,asc,5.0,82893.98395326985,0.2692694664001465
10,Syn_n_5000_d_2_seed_2,asc,10.0,82464.1477109051,0.6123628616333008
11,Syn_n_5000_d_2_seed_2,asc,20.0,81705.33428109024,0.845768928527832
12,Syn_n_5000_d_2_seed_3,asc,3.0,81812.62080429555,0.031743526458740234
13,Syn_n_5000_d_2_seed_3,asc,5.0,81658.24250317246,0.10574841499328613
14,Syn_n_5000_d_2_seed_3,asc,10.0,81295.79328109293,0.24135398864746094
15,Syn_n_5000_d_2_seed_3,asc,20.0,80638.23201437108,0.37697291374206543
16,Syn_n_5000_d_2_seed_4,asc,3.0,84208.65077305946,0.015952587127685547
17,Syn_n_5000_d_2_seed_4,asc,5.0,84071.40173535919,0.07978391647338867
18,Syn_n_5000_d_2_seed_4,asc,10.0,83701.03568916427,0.18553590774536133
19,Syn_n_5000_d_2_seed_4,asc,20.0,83005.67698764463,0.3530557155609131
20,Syn_n_5000_d_2_seed_5,asc,3.0,81620.61552927158,0.030901432037353516
21,Syn_n_5000_d_2_seed_5,asc,5.0,81424.7558738447,0.12865543365478516
22,Syn_n_5000_d_2_seed_5,asc,10.0,80998.83530075199,0.33610057830810547
23,Syn_n_5000_d_2_seed_5,asc,20.0,80270.54424582522,0.5146522521972656
24,Syn_n_5000_d_2_seed_6,asc,3.0,83512.42845409348,0.017951011657714844
25,Syn_n_5000_d_2_seed_6,asc,5.0,83293.774839641,0.11372804641723633
26,Syn_n_5000_d_2_seed_6,asc,10.0,82888.56595931681,0.2702808380126953
27,Syn_n_5000_d_2_seed_6,asc,20.0,82184.29299780306,0.3929173946380615
28,Syn_n_5000_d_2_seed_7,asc,3.0,81758.30023959052,0.010011434555053711
29,Syn_n_5000_d_2_seed_7,asc,5.0,81591.72705043083,0.05581784248352051
30,Syn_n_5000_d_2_seed_7,asc,10.0,81206.56388652467,0.14464783668518066
31,Syn_n_5000_d_2_seed_7,asc,20.0,80517.50125401086,0.271273136138916
32,Syn_n_5000_d_2_seed_8,asc,3.0,82593.49572626692,0.018984556198120117
33,Syn_n_5000_d_2_seed_8,asc,5.0,82441.36615034804,0.06380152702331543
34,Syn_n_5000_d_2_seed_8,asc,10.0,82104.08353987076,0.1476423740386963
35,Syn_n_5000_d_2_seed_8,asc,20.0,81393.64349988912,0.2922191619873047
36,Syn_n_5000_d_2_seed_9,asc,3.0,81813.56346959517,0.08876681327819824
37,Syn_n_5000_d_2_seed_9,asc,5.0,81655.82066571753,0.19750666618347168
38,Syn_n_5000_d_2_seed_9,asc,10.0,81255.25324849017,0.288266658782959
39,Syn_n_5000_d_2_seed_9,asc,20.0,80600.2348221954,0.40990376472473145
