,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_5000_d_2_seed_1,asc,3,82478.33202095603,0.09378337860107422
1,Syn_n_5000_d_2_seed_1,asc,5,82301.59304425876,0.20245885848999023
2,Syn_n_5000_d_2_seed_1,asc,10,81865.73804744988,0.3321115970611572
3,Syn_n_5000_d_2_seed_1,asc,20,81151.11740169421,0.48769640922546387
