,dataset_name,method,k,SSE,Total_time
0,Syn_n_50000_d_2_seed_3,basic,3,824047.3949324421,46.36898350715637
1,Syn_n_50000_d_2_seed_3,basic,5,823830.3780269185,90.08330082893372
2,Syn_n_50000_d_2_seed_3,basic,10,823312.1774600099,195.4083535671234
3,Syn_n_50000_d_2_seed_3,basic,20,822430.1289156048,414.9842665195465
4,Syn_n_50000_d_2_seed_3,asc,3,824047.3949324419,2.425511121749878
5,Syn_n_50000_d_2_seed_3,asc,5,823830.3780269208,4.7494025230407715
6,Syn_n_50000_d_2_seed_3,asc,10,823312.1774600104,11.400583505630493
7,Syn_n_50000_d_2_seed_3,asc,20,822438.0568324713,29.92111301422119
