,dataset_name,method,k,SSE,Total_time
0,Syn_n_50000_d_2_seed_6,basic,3,825616.5346881885,42.740265130996704
1,Syn_n_50000_d_2_seed_6,basic,5,825413.8215394771,85.21266412734985
2,Syn_n_50000_d_2_seed_6,basic,10,824888.1261181305,193.31417059898376
3,Syn_n_50000_d_2_seed_6,basic,20,823930.0055440352,423.1459929943085
4,Syn_n_50000_d_2_seed_6,asc,3,825616.5346881888,2.7077572345733643
5,Syn_n_50000_d_2_seed_6,asc,5,825413.8215394734,6.022891521453857
6,Syn_n_50000_d_2_seed_6,asc,10,824916.2721295971,12.706243991851807
7,Syn_n_50000_d_2_seed_6,asc,20,823963.3003427138,35.26548624038696
