,dataset_name,method,k,SSE,Total_time
0,Syn_n_50000_d_2_seed_4,basic,3,830533.7593167919,43.859495401382446
1,Syn_n_50000_d_2_seed_4,basic,5,830310.7750996331,87.57503914833069
2,Syn_n_50000_d_2_seed_4,basic,10,829821.367870094,196.78802847862244
3,Syn_n_50000_d_2_seed_4,basic,20,828915.1019788806,403.3036079406738
4,Syn_n_50000_d_2_seed_4,asc,3,830533.759316792,6.503361940383911
5,Syn_n_50000_d_2_seed_4,asc,5,830310.7750996319,10.623634815216064
6,Syn_n_50000_d_2_seed_4,asc,10,829821.3678700934,16.1762433052063
7,Syn_n_50000_d_2_seed_4,asc,20,828920.0474926347,36.57163953781128
