,dataset_name,method,k,SSE,Total_time
0,Syn_n_50000_d_2_seed_7,basic,3,827037.5748633223,44.437437534332275
1,Syn_n_50000_d_2_seed_7,basic,5,826832.4075217913,86.46651721000671
2,Syn_n_50000_d_2_seed_7,basic,10,826368.9950667063,197.15110278129578
3,Syn_n_50000_d_2_seed_7,basic,20,825512.1282970605,407.66971588134766
4,Syn_n_50000_d_2_seed_7,asc,3,827038.4236303772,5.825443983078003
5,Syn_n_50000_d_2_seed_7,asc,5,826833.0687989052,10.792616128921509
6,Syn_n_50000_d_2_seed_7,asc,10,826370.9643232098,15.701590061187744
7,Syn_n_50000_d_2_seed_7,asc,20,825526.4803733887,33.22504496574402
