,dataset_name,method,k,SSE,Total_time
0,Syn_n_5000_d_2_seed_1,basic,3,82478.33202095606,0.4527885913848877
1,Syn_n_5000_d_2_seed_1,basic,5,82275.96402881536,0.9115617275238037
2,Syn_n_5000_d_2_seed_1,basic,10,81865.14655141422,1.9477906227111816
3,Syn_n_5000_d_2_seed_1,basic,20,81115.55721499931,4.3065125942230225
4,Syn_n_5000_d_2_seed_1,asc,3,82478.33202095605,0.017976999282836914
5,Syn_n_5000_d_2_seed_1,asc,5,82275.96402881533,0.09175539016723633
6,Syn_n_5000_d_2_seed_1,asc,10,81865.73804744992,0.4856748580932617
7,Syn_n_5000_d_2_seed_1,asc,20,81115.55721499921,0.9943413734436035
