,dataset_name,method,k,SSE,Total_time
0,Syn_n_100000_d_2_seed_0,basic,3,1651193.4697894221,173.03642392158508
1,Syn_n_100000_d_2_seed_0,basic,5,1650996.0997394333,354.3391332626343
2,Syn_n_100000_d_2_seed_0,basic,10,1650498.1906491183,791.6654748916626
3,Syn_n_100000_d_2_seed_0,basic,20,1649522.2375455587,1629.7998774051666
4,Syn_n_100000_d_2_seed_0,asc,3,1651204.7295647063,15.593886852264404
5,Syn_n_100000_d_2_seed_0,asc,5,1651007.2511722893,24.15889596939087
6,Syn_n_100000_d_2_seed_0,asc,10,1650509.5123254138,54.26377820968628
7,Syn_n_100000_d_2_seed_0,asc,20,1649529.0742667974,132.33487820625305
