,dataset_name,method,k,SSE,Total_time
0,Syn_n_100000_d_2_seed_7,basic,3,1654299.9938894815,169.3426616191864
1,Syn_n_100000_d_2_seed_7,basic,5,1654095.8902509059,343.75995898246765
2,Syn_n_100000_d_2_seed_7,basic,10,1653567.1090745772,775.2465450763702
3,Syn_n_100000_d_2_seed_7,basic,20,1652627.3104165404,1635.1868970394135
4,Syn_n_100000_d_2_seed_7,asc,3,1654300.7349756104,17.492210865020752
5,Syn_n_100000_d_2_seed_7,asc,5,1654096.6473302096,21.648661375045776
6,Syn_n_100000_d_2_seed_7,asc,10,1653567.7721765665,34.61940884590149
7,Syn_n_100000_d_2_seed_7,asc,20,1652627.9735185234,77.72967433929443
