,dataset_name,method,k,SSE,Total_time
0,Syn_n_100000_d_2_seed_5,basic,3,1647180.6456770445,181.89063024520874
1,Syn_n_100000_d_2_seed_5,basic,5,1646967.5343504967,355.38148736953735
2,Syn_n_100000_d_2_seed_5,basic,10,1646455.9685489167,775.2724416255951
3,Syn_n_100000_d_2_seed_5,basic,20,1645418.685995937,1643.5584292411804
4,Syn_n_100000_d_2_seed_5,asc,3,1647180.6456770473,9.849732637405396
5,Syn_n_100000_d_2_seed_5,asc,5,1646967.5343504967,14.936807632446289
6,Syn_n_100000_d_2_seed_5,asc,10,1646456.1176344822,32.004292488098145
7,Syn_n_100000_d_2_seed_5,asc,20,1645421.4448865112,84.46817660331726
