,dataset_name,method,k,SSE,Total_time
0,Syn_n_100000_d_2_seed_1,basic,3,1651359.3458868426,181.94427180290222
1,Syn_n_100000_d_2_seed_1,basic,5,1651152.5004422367,355.07782006263733
2,Syn_n_100000_d_2_seed_1,basic,10,1650623.305078011,777.404926776886
3,Syn_n_100000_d_2_seed_1,basic,20,1649612.5139422552,1655.5031526088715
4,Syn_n_100000_d_2_seed_1,asc,3,1651359.3458868435,2.4105560779571533
5,Syn_n_100000_d_2_seed_1,asc,5,1651152.5004422353,6.333037376403809
6,Syn_n_100000_d_2_seed_1,asc,10,1650623.6819700869,23.053483724594116
7,Syn_n_100000_d_2_seed_1,asc,20,1649637.144295642,78.83767318725586
