,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_7,20,1.01,20,825512.1282970605,825512.1282970577,390.1814935207367,131.61272859573364,2.964618222597847,-3.3845265600277483e-13
1,Syn_n_50000_d_2_seed_7,20,1.05,20,825512.1282970605,825512.1282970577,385.54912543296814,87.5080680847168,4.40586946862679,-3.3845265600277483e-13
2,Syn_n_50000_d_2_seed_7,20,1.1,20,825512.1282970605,825512.1282970577,386.2904314994812,77.74308013916016,4.968807909437356,-3.3845265600277483e-13
3,Syn_n_50000_d_2_seed_7,20,1.2,20,825512.1282970605,825512.1282970577,386.21654891967773,71.06990313529968,5.434319337461542,-3.3845265600277483e-13
4,Syn_n_50000_d_2_seed_7,20,1.5,20,825512.1282970605,825512.1282970577,386.46935176849365,64.70391726493835,5.972889557614358,-3.3845265600277483e-13
5,Syn_n_50000_d_2_seed_7,20,2.0,20,825512.1282970605,825512.1282970577,385.75130558013916,60.38110280036926,6.3886098081961515,-3.3845265600277483e-13
6,Syn_n_50000_d_2_seed_7,20,5.0,20,825512.1282970605,825515.5505046783,386.20074796676636,53.96764659881592,7.156153219681805,0.00041455570432897464
7,Syn_n_50000_d_2_seed_7,20,10.0,20,825512.1282970605,825515.5505046794,386.144819021225,56.27002692222595,6.862353550229112,0.00041455570446999654
8,Syn_n_50000_d_2_seed_7,20,20.0,20,825512.1282970605,825544.5271408468,386.2656786441803,64.79374504089355,5.961465545792959,0.0039246962795283415
9,Syn_n_50000_d_2_seed_7,20,50.0,20,825512.1282970605,825571.2588430914,385.14349341392517,55.37835240364075,6.954766198291675,0.007162892464453238
