,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_7,20,1.01,10,825512.1282970605,825512.1282970577,406.1818325519562,154.5432209968567,2.628273371888746,-3.3845265600277483e-13
1,Syn_n_50000_d_2_seed_7,20,1.05,10,825512.1282970605,825512.1282970577,407.5551583766937,102.98467350006104,3.957435068009923,-3.3845265600277483e-13
2,Syn_n_50000_d_2_seed_7,20,1.1,10,825512.1282970605,825512.1282970577,407.1857361793518,92.46972918510437,4.403448996419727,-3.3845265600277483e-13
3,Syn_n_50000_d_2_seed_7,20,1.2,10,825512.1282970605,825512.1282970577,408.13567662239075,83.94033408164978,4.862211725597759,-3.3845265600277483e-13
4,Syn_n_50000_d_2_seed_7,20,1.5,10,825512.1282970605,825512.1282970577,407.0846493244171,76.3614182472229,5.33102525684457,-3.3845265600277483e-13
5,Syn_n_50000_d_2_seed_7,20,2.0,10,825512.1282970605,825512.1282970577,407.78849959373474,72.69130778312683,5.609866049051754,-3.3845265600277483e-13
6,Syn_n_50000_d_2_seed_7,20,5.0,10,825512.1282970605,825516.7825572424,406.50378131866455,65.8638482093811,6.171880210011256,0.0005638027622367607
7,Syn_n_50000_d_2_seed_7,20,10.0,10,825512.1282970605,825515.891942173,406.6969678401947,67.47836971282959,6.027071631561215,0.00045591639220110265
8,Syn_n_50000_d_2_seed_7,20,20.0,10,825512.1282970605,825552.7438046552,409.4894416332245,72.83760380744934,5.621951028423929,0.004920037659342965
9,Syn_n_50000_d_2_seed_7,20,50.0,10,825512.1282970605,825579.3701884359,407.3703832626343,65.38015532493591,6.230795586795795,0.008145475889507054
