dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_0,20,1.01,20,822470.7707,822470.7707,456.9332914,195.7845411,2.333857866,-5.66E-13,,1.01,2.433063255
Syn_n_50000_d_2_seed_1,20,1.01,20,822968.0658,822968.0658,434.8087473,201.0506282,2.162682859,-1.46E-12,,1.05,3.505002901
Syn_n_50000_d_2_seed_2,20,1.01,20,827592.0665,827592.0665,432.2949102,190.7234869,2.26660553,-3.52E-13,,1.1,4.011005069
Syn_n_50000_d_2_seed_3,20,1.01,20,822430.1289,822430.1289,430.6177018,176.5817406,2.438630972,-1.84E-13,,1.2,4.687232839
Syn_n_50000_d_2_seed_4,20,1.01,20,828915.102,828915.102,422.4953678,169.7794905,2.488494733,-3.09E-13,,1.5,5.259377298
Syn_n_50000_d_2_seed_5,20,1.01,20,823692.9236,823692.9236,418.0244884,162.634094,2.570337364,-6.93E-13,,2,5.649194553
Syn_n_50000_d_2_seed_6,20,1.01,20,823930.0055,823930.383,420.0341251,186.6387272,2.250519661,4.58E-05,,5,6.273618629
Syn_n_50000_d_2_seed_7,20,1.01,20,825512.1283,825512.1283,406.4082549,157.6309912,2.578225587,-3.38E-13,,10,6.637642531
Syn_n_50000_d_2_seed_8,20,1.01,20,821197.6594,821197.6594,406.723567,140.9405816,2.885780394,-2.41E-13,,20,7.065858538
Syn_n_50000_d_2_seed_9,20,1.01,20,825649.5184,825649.5184,407.0006354,172.7875414,2.355497579,-4.23E-13,,50,8.348414144
average,,,,824435.8369,824435.8747,423.5341089,175.4551823,2.433063255,4.58059E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.05,20,822470.7707,822470.7707,456.5189939,120.3159614,3.794334423,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.05,20,822968.0658,822968.0658,436.3288305,172.0553653,2.535979216,-1.46E-12,,,
Syn_n_50000_d_2_seed_2,20,1.05,20,827592.0665,827592.0665,432.5323093,158.4128582,2.730411622,-3.52E-13,,,
