dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_3,20,1.5,5,822430.1289,822430.1289,461.1327226,94.95505428,4.856326249,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.5,5,828915.102,828915.102,437.2327571,82.9207387,5.272899928,-3.79E-13,,,
Syn_n_50000_d_2_seed_5,20,1.5,5,823692.9236,823692.9236,437.3658783,65.86984277,6.639850043,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.5,5,823930.0055,823930.383,431.0435441,100.8488247,4.274155353,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.5,5,825512.1283,825512.1283,424.3636739,85.37132049,4.970798993,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.5,5,821197.6594,821197.6594,419.755857,69.7499578,6.018008759,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.5,5,825649.5184,825649.5184,423.5920529,125.2640283,3.381593732,-4.23E-13,,,
average,,,,824435.8369,824436.3793,423.5819794,87.52126262,5.272498286,6.59E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,2,5,822470.7707,822470.7707,400.6155984,36.07850456,11.10399678,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,2,5,822968.0658,822988.2539,401.5553753,81.51102138,4.926393616,0.002453086,,,
Syn_n_50000_d_2_seed_2,20,2,5,827592.0665,827592.0665,399.0653768,102.5726638,3.890562671,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,2,5,822430.1289,822430.1289,457.247534,90.58622956,5.047649474,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,2,5,828915.102,828915.102,433.7134082,74.65783596,5.80934878,-3.79E-13,,,
Syn_n_50000_d_2_seed_5,20,2,5,823692.9236,823714.3698,432.8684142,60.0718596,7.205843419,0.002603668,,,
Syn_n_50000_d_2_seed_6,20,2,5,823930.0055,823930.5724,438.0326891,96.09753823,4.558209265,6.88E-05,,,
Syn_n_50000_d_2_seed_7,20,2,5,825512.1283,825512.1283,427.1273675,81.80024529,5.221590302,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,2,5,821197.6594,821197.6594,421.5005648,62.85090184,6.70635667,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,2,5,825649.5184,825649.5184,419.3428776,120.3718698,3.483728203,-4.23E-13,,,
average,,,,824435.8369,824440.057,423.1069206,80.659867,5.795367918,0.000512555,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,5,5,822470.7707,822473.5622,399.7374473,31.4593668,12.70646831,0.000339404,,,
Syn_n_50000_d_2_seed_1,20,5,5,822968.0658,822988.2539,399.8231413,75.1469903,5.320547633,0.002453086,,,
Syn_n_50000_d_2_seed_2,20,5,5,827592.0665,827592.0665,399.9292216,99.39897037,4.02347449,-3.38E-13,,,
Syn_n_50000_d_2_seed_3,20,5,5,822430.1289,822432.5989,458.1233623,89.15268302,5.138637972,0.000300323,,,
Syn_n_50000_d_2_seed_4,20,5,5,828915.102,828933.2275,436.141655,63.04938912,6.917460439,0.002186653,,,
Syn_n_50000_d_2_seed_5,20,5,5,823692.9236,823692.9236,435.9828217,56.48594332,7.718430393,-7.21E-13,,,
Syn_n_50000_d_2_seed_6,20,5,5,823930.0055,823930.7656,432.7920752,88.81696463,4.872853705,9.22E-05,,,
Syn_n_50000_d_2_seed_7,20,5,5,825512.1283,825525.4118,423.3438618,71.94112086,5.884588073,0.001609125,,,
Syn_n_50000_d_2_seed_8,20,5,5,821197.6594,821204.9196,421.9807818,55.21532345,7.642457844,0.000884096,,,
Syn_n_50000_d_2_seed_9,20,5,5,825649.5184,825654.8408,418.6596522,117.5547013,3.561402883,0.000644632,,,
average,,,,824435.8369,824442.857,422.651402,74.82214532,6.378632174,0.000850956,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,10,5,822470.7707,822480.3915,399.877279,28.47980452,14.04073117,0.001169748,,,
Syn_n_50000_d_2_seed_1,20,10,5,822968.0658,822991.2131,401.4321258,73.24120712,5.480959989,0.002812661,,,
Syn_n_50000_d_2_seed_2,20,10,5,827592.0665,827610.6944,400.2304277,96.43918204,4.150081111,0.002250861,,,
Syn_n_50000_d_2_seed_3,20,10,5,822430.1289,822450.5665,437.5035977,72.26158619,6.054442212,0.002485023,,,
Syn_n_50000_d_2_seed_4,20,10,5,828915.102,828968.8673,435.8564267,49.61481571,8.784803903,0.006486223,,,
Syn_n_50000_d_2_seed_5,20,10,5,823692.9236,823740.4891,432.262686,55.98676777,7.720800883,0.005774668,,,
Syn_n_50000_d_2_seed_6,20,10,5,823930.0055,823930.7656,430.5965261,84.03326726,5.124119771,9.22E-05,,,
Syn_n_50000_d_2_seed_7,20,10,5,825512.1283,825515.8919,420.9822459,92.62534404,4.545000618,0.000455916,,,
Syn_n_50000_d_2_seed_8,20,10,5,821197.6594,821219.4231,421.1263063,46.98384857,8.963214362,0.002650235,,,
Syn_n_50000_d_2_seed_9,20,10,5,825649.5184,825657.121,419.53861,124.6222014,3.366483701,0.0009208,,,
average,,,,824435.8369,824456.5424,419.9406231,72.42880247,6.823063772,0.002509838,,,
,,,,,,,,,,,,
