dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_1,20,50,10,822968.0658,822984.1865,432.258245,92.0565412,4.695573387,0.001958846,,,
Syn_n_50000_d_2_seed_2,20,50,10,827592.0665,827637.8884,432.6676733,93.63259435,4.620908738,0.005536769,,,
Syn_n_50000_d_2_seed_3,20,50,10,822430.1289,822464.0736,425.3097775,57.51517367,7.394740385,0.004127369,,,
Syn_n_50000_d_2_seed_4,20,50,10,828915.102,828995.2337,418.9640274,37.4084568,11.19971427,0.009667062,,,
Syn_n_50000_d_2_seed_5,20,50,10,823692.9236,823702.9633,419.7042606,45.40157104,9.244267346,0.001218873,,,
Syn_n_50000_d_2_seed_6,20,50,10,823930.0055,824005.7166,406.9852316,44.48105979,9.149629833,0.009189016,,,
Syn_n_50000_d_2_seed_7,20,50,10,825512.1283,825579.3702,407.3703833,65.38015532,6.230795587,0.008145476,,,
Syn_n_50000_d_2_seed_8,20,50,10,821197.6594,821310.151,406.9128389,33.48443365,12.15229868,0.013698474,,,
Syn_n_50000_d_2_seed_9,20,50,10,825649.5184,825671.9756,406.3876917,89.22137332,4.55482444,0.002719938,,,
average,,,,824435.8369,824485.2614,419.0732441,58.59047897,8.513286248,0.005994394,,,
