,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_9,20,1.01,10,825649.5184304834,825649.5184304799,406.4017422199249,172.71127700805664,2.3530701020812157,-4.2299542079877037e-13
1,Syn_n_50000_d_2_seed_9,20,1.05,10,825649.5184304834,825649.5184304799,406.18536853790283,143.71429824829102,2.826339296011787,-4.2299542079877037e-13
2,Syn_n_50000_d_2_seed_9,20,1.1,10,825649.5184304834,825649.5184304799,405.98835015296936,131.02223372459412,3.098621803428783,-4.2299542079877037e-13
3,Syn_n_50000_d_2_seed_9,20,1.2,10,825649.5184304834,825649.5184304799,406.56887888908386,119.05557322502136,3.4149504124485386,-4.2299542079877037e-13
4,Syn_n_50000_d_2_seed_9,20,1.5,10,825649.5184304834,825649.5184304799,406.57295966148376,111.56557726860046,3.6442509384649737,-4.2299542079877037e-13
5,Syn_n_50000_d_2_seed_9,20,2.0,10,825649.5184304834,825649.5184304799,406.78784918785095,105.7890613079071,3.8452732651050185,-4.2299542079877037e-13
6,Syn_n_50000_d_2_seed_9,20,5.0,10,825649.5184304834,825649.5184304804,407.10096549987793,101.40441727638245,4.014627532352021,-3.665960313589343e-13
7,Syn_n_50000_d_2_seed_9,20,10.0,10,825649.5184304834,825656.3827319352,408.30570673942566,106.57398247718811,3.831194980696367,0.0008313819966709123
8,Syn_n_50000_d_2_seed_9,20,20.0,10,825649.5184304834,825662.4183403723,407.26261281967163,98.3110978603363,4.1425904265481925,0.0015623953749021608
9,Syn_n_50000_d_2_seed_9,20,50.0,10,825649.5184304834,825671.9755835354,406.3876917362213,89.22137331962585,4.55482443965956,0.002719937764230161
