dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_0,20,1.01,50,822470.7707,822470.7707,462.9881783,195.2419517,2.371356024,-5.66E-13,,1.01,2.449338919
Syn_n_50000_d_2_seed_1,20,1.01,50,822968.0658,822968.0658,435.846972,213.1199646,2.045078099,-1.46E-12,,1.05,3.538735185
Syn_n_50000_d_2_seed_2,20,1.01,50,827592.0665,827592.0665,433.4373429,189.7765107,2.283935674,-3.52E-13,,1.1,4.058490117
Syn_n_50000_d_2_seed_3,20,1.01,50,822430.1289,822430.1289,434.6209815,173.1948202,2.509434064,-1.84E-13,,1.2,4.684833399
Syn_n_50000_d_2_seed_4,20,1.01,50,828915.102,828915.102,424.3289773,170.208874,2.492989745,-3.09E-13,,1.5,5.260881952
Syn_n_50000_d_2_seed_5,20,1.01,50,823692.9236,823692.9236,422.794219,158.5738823,2.666228592,-6.93E-13,,2,5.652830991
Syn_n_50000_d_2_seed_6,20,1.01,50,823930.0055,823930.383,419.4887614,186.9618437,2.243713225,4.58E-05,,5,6.283669829
Syn_n_50000_d_2_seed_7,20,1.01,50,825512.1283,825512.1283,408.0472867,155.3949745,2.625871835,-3.38E-13,,10,6.641141879
Syn_n_50000_d_2_seed_8,20,1.01,50,821197.6594,821197.6594,406.473747,140.9460568,2.88389584,-2.41E-13,,20,7.036941026
Syn_n_50000_d_2_seed_9,20,1.01,50,825649.5184,825649.5184,406.9673307,171.6519966,2.370886088,-4.23E-13,,50,8.281802427
average,,,,824435.8369,824435.8747,425.4993797,175.5070875,2.449338919,4.58059E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.05,50,822470.7707,822470.7707,455.2459211,122.6820674,3.710778036,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.05,50,822968.0658,822968.0658,437.8596287,168.7224782,2.595146974,-1.46E-12,,,
Syn_n_50000_d_2_seed_2,20,1.05,50,827592.0665,827592.0665,433.042484,155.3490074,2.787545871,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.05,50,822430.1289,822430.1289,433.211586,110.9896212,3.90317204,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.05,50,828915.102,828915.102,422.0194218,110.7737565,3.809741902,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.05,50,823692.9236,823692.9236,421.9678533,99.30148745,4.249360852,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.05,50,823930.0055,823930.383,419.4710796,138.2138834,3.03494171,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.05,50,825512.1283,825512.1283,406.9558425,105.1249886,3.871161824,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.05,50,821197.6594,821197.6594,407.3264453,89.38752747,4.556859966,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.05,50,825649.5184,825649.5184,407.9362273,142.2053123,2.868642675,-4.23E-13,,,
average,,,,824435.8369,824435.8747,424.503649,124.275013,3.538735185,4.58059E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.1,50,822470.7707,822470.7707,454.3390176,91.78252316,4.950169183,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.1,50,822968.0658,822973.112,434.7923265,152.1720622,2.857241469,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.1,50,827592.0665,827592.0665,435.72154,151.0695992,2.884243702,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.1,50,822430.1289,822430.1289,430.932127,99.82803464,4.316744575,-1.84E-13,,,
