,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_6,20,1.01,50,823930.0055440352,823930.38295234,419.4887614250183,186.96184372901917,2.2437132254270105,4.5805869694986e-05
1,Syn_n_50000_d_2_seed_6,20,1.05,50,823930.0055440352,823930.38295234,419.4710795879364,138.21388339996338,3.0349417096839026,4.5805869694986e-05
2,Syn_n_50000_d_2_seed_6,20,1.1,50,823930.0055440352,823930.38295234,419.2259027957916,121.12057876586914,3.4612277043868147,4.5805869694986e-05
3,Syn_n_50000_d_2_seed_6,20,1.2,50,823930.0055440352,823930.38295234,420.97186517715454,109.98335337638855,3.827596197549016,4.5805869694986e-05
4,Syn_n_50000_d_2_seed_6,20,1.5,50,823930.0055440352,823930.38295234,418.9201443195343,98.93191480636597,4.234428749705935,4.5805869694986e-05
5,Syn_n_50000_d_2_seed_6,20,2.0,50,823930.0055440352,823930.5723538056,419.99884557724,98.55145287513733,4.26172150003075,6.879343713718382e-05
6,Syn_n_50000_d_2_seed_6,20,5.0,50,823930.0055440352,823930.5723538056,408.64784121513367,80.32071113586426,5.087701981670666,6.879343713718382e-05
7,Syn_n_50000_d_2_seed_6,20,10.0,50,823930.0055440352,823930.5723538059,406.3783278465271,76.46650552749634,5.314461868541892,6.879343716544237e-05
8,Syn_n_50000_d_2_seed_6,20,20.0,50,823930.0055440352,823957.8145981755,407.006311416626,70.19310975074768,5.798379824770346,0.0033751719142540806
9,Syn_n_50000_d_2_seed_6,20,50.0,50,823930.0055440352,823930.7655677778,406.8165988922119,53.02474641799927,7.672202629414516,9.224372670626499e-05
