,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_2,20,1.01,20,827592.0664996873,827592.0664996844,432.2949101924896,190.7234869003296,2.266605530436863,-3.5166879474604896e-13
1,Syn_n_50000_d_2_seed_2,20,1.05,20,827592.0664996873,827592.0664996844,432.53230929374695,158.41285824775696,2.7304116223777015,-3.5166879474604896e-13
2,Syn_n_50000_d_2_seed_2,20,1.1,20,827592.0664996873,827592.0664996844,434.37612223625183,149.15869426727295,2.9121743413622703,-3.5166879474604896e-13
3,Syn_n_50000_d_2_seed_2,20,1.2,20,827592.0664996873,827592.0664996844,431.15405321121216,143.633864402771,3.001757663514443,-3.5166879474604896e-13
4,Syn_n_50000_d_2_seed_2,20,1.5,20,827592.0664996873,827592.0664996844,432.61165499687195,135.28050184249878,3.197886237149999,-3.5166879474604896e-13
5,Syn_n_50000_d_2_seed_2,20,2.0,20,827592.0664996873,827592.0664996844,432.65523171424866,133.50151467323303,3.2408263889233293,-3.5166879474604896e-13
6,Syn_n_50000_d_2_seed_2,20,5.0,20,827592.0664996873,827592.0664996844,432.0224916934967,124.229740858078,3.477609215872437,-3.5166879474604896e-13
7,Syn_n_50000_d_2_seed_2,20,10.0,20,827592.0664996873,827608.9831982576,430.98320174217224,125.84507060050964,3.42471262231885,0.002044086604395889
8,Syn_n_50000_d_2_seed_2,20,20.0,20,827592.0664996873,827619.9805462214,430.88658332824707,118.05229830741882,3.6499635289283363,0.0033729234080465678
9,Syn_n_50000_d_2_seed_2,20,50.0,20,827592.0664996873,827648.8525724779,429.7569649219513,98.87664103507996,4.346395270137463,0.006861601879631378
