,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_4,20,1.01,50,828915.1019788806,828915.101978878,424.3289773464203,170.20887398719788,2.4929897449314886,-3.089745951157516e-13
1,Syn_n_50000_d_2_seed_4,20,1.05,50,828915.1019788806,828915.1019788773,422.0194218158722,110.77375650405884,3.8097419021842875,-3.932403937836839e-13
2,Syn_n_50000_d_2_seed_4,20,1.1,50,828915.1019788806,828915.1019788773,422.2338843345642,97.73216152191162,4.320316646633248,-3.932403937836839e-13
3,Syn_n_50000_d_2_seed_4,20,1.2,50,828915.1019788806,828915.1019788773,427.7852625846863,86.40579509735107,4.950886246723523,-3.932403937836839e-13
4,Syn_n_50000_d_2_seed_4,20,1.5,50,828915.1019788806,828915.1019788773,424.6769497394562,76.63606190681458,5.541476677857495,-3.932403937836839e-13
5,Syn_n_50000_d_2_seed_4,20,2.0,50,828915.1019788806,828915.1019788773,426.12090015411377,69.90802550315857,6.095450373360364,-3.932403937836839e-13
6,Syn_n_50000_d_2_seed_4,20,5.0,50,828915.1019788806,828915.1019788777,425.62528347969055,62.76513719558716,6.78123720423597,-3.511074944497178e-13
7,Syn_n_50000_d_2_seed_4,20,10.0,50,828915.1019788806,828971.1044475312,420.48745226860046,50.03227233886719,8.404324501206954,0.006756116340127361
8,Syn_n_50000_d_2_seed_4,20,20.0,50,828915.1019788806,828972.645291796,422.86662578582764,49.746965169906616,8.500350209134606,0.006942003201292153
9,Syn_n_50000_d_2_seed_4,20,50.0,50,828915.1019788806,828999.8060697864,422.2402617931366,37.88467526435852,11.14541061383666,0.010218669041452638
