,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_0,20,1.01,20,822470.7707060463,822470.7707060416,456.9332914352417,195.78454113006592,2.333857866396542,-5.661736609897936e-13
1,Syn_n_50000_d_2_seed_0,20,1.05,20,822470.7707060463,822470.7707060416,456.5189938545227,120.3159613609314,3.7943344232194454,-5.661736609897936e-13
2,Syn_n_50000_d_2_seed_0,20,1.1,20,822470.7707060463,822470.7707060416,455.78963255882263,93.5084376335144,4.874315560112223,-5.661736609897936e-13
3,Syn_n_50000_d_2_seed_0,20,1.2,20,822470.7707060463,822470.7707060416,453.9248743057251,66.20393443107605,6.856463716341506,-5.661736609897936e-13
4,Syn_n_50000_d_2_seed_0,20,1.5,20,822470.7707060463,822470.7707060416,439.4944610595703,52.30713152885437,8.40219006880793,-5.661736609897936e-13
5,Syn_n_50000_d_2_seed_0,20,2.0,20,822470.7707060463,822470.7707060416,436.15078043937683,47.234431982040405,9.233746699975374,-5.661736609897936e-13
6,Syn_n_50000_d_2_seed_0,20,5.0,20,822470.7707060463,822470.770706042,434.4080936908722,41.08843469619751,10.572515037451014,-5.23710636415559e-13
7,Syn_n_50000_d_2_seed_0,20,10.0,20,822470.7707060463,822480.3915400174,432.248494386673,37.884185552597046,11.409734380763041,0.0011697478273822962
8,Syn_n_50000_d_2_seed_0,20,20.0,20,822470.7707060463,822488.446307223,433.0947308540344,37.450835943222046,11.564354171176173,0.002149085633964548
9,Syn_n_50000_d_2_seed_0,20,50.0,20,822470.7707060463,822492.0665868111,433.45825386047363,29.168987035751343,14.860243632362,0.0025892568494024276
