,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_3,20,1.01,5,822430.1289156048,822430.1289156033,403.17541313171387,138.3200716972351,2.9148004926878084,-1.8401553281439337e-13
1,Syn_n_50000_d_2_seed_3,20,1.05,5,822430.1289156048,822430.1289156033,400.6491799354553,89.85122609138489,4.459028522637715,-1.8401553281439337e-13
2,Syn_n_50000_d_2_seed_3,20,1.1,5,822430.1289156048,822430.1289156033,404.8332121372223,83.48778462409973,4.849011312971915,-1.8401553281439337e-13
3,Syn_n_50000_d_2_seed_3,20,1.2,5,822430.1289156048,822430.1289156033,443.8758089542389,106.97026920318604,4.149525024669362,-1.8401553281439337e-13
4,Syn_n_50000_d_2_seed_3,20,1.5,5,822430.1289156048,822430.1289156033,461.1327226161957,94.95505428314209,4.856326249271211,-1.8401553281439337e-13
5,Syn_n_50000_d_2_seed_3,20,2.0,5,822430.1289156048,822430.1289156033,457.24753403663635,90.5862295627594,5.047649474359112,-1.8401553281439337e-13
6,Syn_n_50000_d_2_seed_3,20,5.0,5,822430.1289156048,822432.5988617474,458.12336230278015,89.15268301963806,5.138637972363291,0.0003003229156854936
7,Syn_n_50000_d_2_seed_3,20,10.0,5,822430.1289156048,822450.5664900376,437.50359773635864,72.26158618927002,6.054442212082561,0.002485022582983557
8,Syn_n_50000_d_2_seed_3,20,20.0,5,822430.1289156048,822450.566490039,433.9994628429413,69.58841395378113,6.236662659551241,0.002485022583153418
9,Syn_n_50000_d_2_seed_3,20,50.0,5,822430.1289156048,822480.6473406965,433.8635776042938,57.16410994529724,7.589789782775876,0.006142579571879461
