,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_0,20,1.01,10,822470.7707060463,822470.7707060416,448.35207986831665,195.6347894668579,2.291780930631824,-5.661736609897936e-13
1,Syn_n_50000_d_2_seed_0,20,1.05,10,822470.7707060463,822470.7707060416,459.4684019088745,116.84351325035095,3.932339837509075,-5.661736609897936e-13
2,Syn_n_50000_d_2_seed_0,20,1.1,10,822470.7707060463,822470.7707060416,458.16799569129944,93.65456223487854,4.892105464571484,-5.661736609897936e-13
3,Syn_n_50000_d_2_seed_0,20,1.2,10,822470.7707060463,822470.7707060416,456.8959171772003,65.66838097572327,6.9576242080052,-5.661736609897936e-13
4,Syn_n_50000_d_2_seed_0,20,1.5,10,822470.7707060463,822470.7707060416,438.9364378452301,53.27653360366821,8.23883252447581,-5.661736609897936e-13
5,Syn_n_50000_d_2_seed_0,20,2.0,10,822470.7707060463,822470.7707060416,436.27149295806885,46.33008551597595,9.416591575416579,-5.661736609897936e-13
6,Syn_n_50000_d_2_seed_0,20,5.0,10,822470.7707060463,822473.5622021527,431.86978340148926,43.39628767967224,9.95176791594057,0.00033940368531602534
7,Syn_n_50000_d_2_seed_0,20,10.0,10,822470.7707060463,822480.3915400166,431.40555477142334,38.275628328323364,11.271024764659186,0.001169747827283216
8,Syn_n_50000_d_2_seed_0,20,20.0,10,822470.7707060463,822490.2486048297,432.5651967525482,33.983110189437866,12.728828948887433,0.002368217750361999
9,Syn_n_50000_d_2_seed_0,20,50.0,10,822470.7707060463,822501.0550839723,434.1723117828369,27.32343053817749,15.890109815317384,0.003682122089278842
