,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_5,20,1.01,50,823692.923557239,823692.9235572333,422.7942190170288,158.5738823413849,2.666228591835941,-6.92533662288214e-13
1,Syn_n_50000_d_2_seed_5,20,1.05,50,823692.923557239,823692.9235572333,421.967853307724,99.3014874458313,4.249360852101097,-6.92533662288214e-13
2,Syn_n_50000_d_2_seed_5,20,1.1,50,823692.923557239,823692.9235572333,419.8095455169678,78.87455534934998,5.322496509267833,-6.92533662288214e-13
3,Syn_n_50000_d_2_seed_5,20,1.2,50,823692.923557239,823692.9235572333,419.69038248062134,68.52124452590942,6.124967305897764,-6.92533662288214e-13
4,Syn_n_50000_d_2_seed_5,20,1.5,50,823692.923557239,823692.9235572333,420.23330640792847,61.18685984611511,6.868031918369643,-6.92533662288214e-13
5,Syn_n_50000_d_2_seed_5,20,2.0,50,823692.923557239,823692.9235572333,421.20256423950195,57.34058213233948,7.345627626649925,-6.92533662288214e-13
6,Syn_n_50000_d_2_seed_5,20,5.0,50,823692.923557239,823692.9235572332,423.41294264793396,50.76772665977478,8.340198990698953,-7.066670023349122e-13
7,Syn_n_50000_d_2_seed_5,20,10.0,50,823692.923557239,823736.3406114035,420.9889578819275,58.8635675907135,7.151944319942035,0.005271024300773797
8,Syn_n_50000_d_2_seed_5,20,20.0,50,823692.923557239,823745.436663263,418.816703081131,59.327348470687866,7.05942055185658,0.006375325624654344
9,Syn_n_50000_d_2_seed_5,20,50.0,50,823692.923557239,823759.0792147055,418.2319688796997,47.806230545043945,8.748482449073945,0.008031592305151544
