,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_5,20,1.01,10,823692.923557239,823692.9235572333,418.2907769680023,160.46737718582153,2.6067028968986063,-6.92533662288214e-13
1,Syn_n_50000_d_2_seed_5,20,1.05,10,823692.923557239,823692.9235572333,420.33064579963684,102.88237047195435,4.085545889654814,-6.92533662288214e-13
2,Syn_n_50000_d_2_seed_5,20,1.1,10,823692.923557239,823692.9235572333,418.5314824581146,79.10744380950928,5.290671298467669,-6.92533662288214e-13
3,Syn_n_50000_d_2_seed_5,20,1.2,10,823692.923557239,823692.9235572333,420.84704327583313,69.82546973228455,6.027127993401096,-6.92533662288214e-13
4,Syn_n_50000_d_2_seed_5,20,1.5,10,823692.923557239,823692.9235572333,420.04281520843506,60.76399207115173,6.91269287765993,-6.92533662288214e-13
5,Syn_n_50000_d_2_seed_5,20,2.0,10,823692.923557239,823692.9235572333,421.16072964668274,58.21430444717407,7.234660512501019,-6.92533662288214e-13
6,Syn_n_50000_d_2_seed_5,20,5.0,10,823692.923557239,823692.9235572333,430.0626072883606,51.43543314933777,8.361212902391932,-6.92533662288214e-13
7,Syn_n_50000_d_2_seed_5,20,10.0,10,823692.923557239,823742.1583177664,418.4716920852661,62.94166159629822,6.648564424137758,0.005977319838411996
8,Syn_n_50000_d_2_seed_5,20,20.0,10,823692.923557239,823745.4366632635,418.3783826828003,59.545260429382324,7.026224751825143,0.006375325624710878
9,Syn_n_50000_d_2_seed_5,20,50.0,10,823692.923557239,823702.9633248877,419.70426058769226,45.40157103538513,9.244267346180216,0.001218872635850417
