,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_5,20,1.01,20,823692.923557239,823692.9235572333,418.0244884490967,162.63409399986267,2.570337363882936,-6.92533662288214e-13
1,Syn_n_50000_d_2_seed_5,20,1.05,20,823692.923557239,823692.9235572333,421.27962017059326,99.96614456176758,4.214222945352173,-6.92533662288214e-13
2,Syn_n_50000_d_2_seed_5,20,1.1,20,823692.923557239,823692.9235572333,418.30209851264954,81.94188261032104,5.104863168715653,-6.92533662288214e-13
3,Syn_n_50000_d_2_seed_5,20,1.2,20,823692.923557239,823692.9235572333,419.18868017196655,68.71822500228882,6.100109252792902,-6.92533662288214e-13
4,Syn_n_50000_d_2_seed_5,20,1.5,20,823692.923557239,823692.9235572333,420.6875832080841,62.17278742790222,6.766426287319487,-6.92533662288214e-13
5,Syn_n_50000_d_2_seed_5,20,2.0,20,823692.923557239,823692.9235572333,420.20521211624146,57.90365719795227,7.25697188140824,-6.92533662288214e-13
6,Syn_n_50000_d_2_seed_5,20,5.0,20,823692.923557239,823692.9235572333,421.3324341773987,53.58370304107666,7.8630704909365825,-6.92533662288214e-13
7,Syn_n_50000_d_2_seed_5,20,10.0,20,823692.923557239,823730.8661708168,418.1176247596741,61.3683922290802,6.81324065324859,0.004606402761596964
8,Syn_n_50000_d_2_seed_5,20,20.0,20,823692.923557239,823745.4366632635,416.81654238700867,60.115727186203,6.933568999272974,0.006375325624710878
9,Syn_n_50000_d_2_seed_5,20,50.0,20,823692.923557239,823755.0296154189,421.18878078460693,47.60722756385803,8.847160448897064,0.007539952863945022
