,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_7,asc,1.01,5,825516.2643472232,83.86596083641052
1,Syn_n_50000_d_2_seed_7,asc,1.01,10,825516.2643472237,83.38146924972534
2,Syn_n_50000_d_2_seed_7,asc,1.01,20,825513.7416790253,89.37856841087341
3,Syn_n_50000_d_2_seed_7,asc,1.01,50,825512.1282970583,96.20627164840698
4,Syn_n_50000_d_2_seed_7,asc,1.05,5,825526.4803733884,26.09672260284424
5,Syn_n_50000_d_2_seed_7,asc,1.05,10,825526.4803733887,30.733800649642944
6,Syn_n_50000_d_2_seed_7,asc,1.05,20,825517.157777723,31.926186084747314
7,Syn_n_50000_d_2_seed_7,asc,1.05,50,825512.1282970608,31.94706678390503
8,Syn_n_50000_d_2_seed_7,asc,1.1,5,825527.543705551,16.670286893844604
9,Syn_n_50000_d_2_seed_7,asc,1.1,10,825526.4803733893,19.44899034500122
10,Syn_n_50000_d_2_seed_7,asc,1.1,20,825517.1577777233,20.592923164367676
11,Syn_n_50000_d_2_seed_7,asc,1.1,50,825512.1282970613,21.801705598831177
12,Syn_n_50000_d_2_seed_7,asc,1.2,5,825538.5768124344,9.576781272888184
13,Syn_n_50000_d_2_seed_7,asc,1.2,10,825526.4803733906,12.34501028060913
14,Syn_n_50000_d_2_seed_7,asc,1.2,20,825517.1577777248,13.647498607635498
15,Syn_n_50000_d_2_seed_7,asc,1.2,50,825512.1282970613,15.682062149047852
16,Syn_n_50000_d_2_seed_7,asc,1.5,5,825535.7008032865,6.429771423339844
17,Syn_n_50000_d_2_seed_7,asc,1.5,10,825534.6374711265,8.470352411270142
18,Syn_n_50000_d_2_seed_7,asc,1.5,20,825525.156537705,9.73274040222168
19,Syn_n_50000_d_2_seed_7,asc,1.5,50,825512.1282970611,10.797550916671753
20,Syn_n_50000_d_2_seed_7,asc,2.0,5,825541.7222918173,5.123266220092773
21,Syn_n_50000_d_2_seed_7,asc,2.0,10,825535.7008032876,6.315990686416626
22,Syn_n_50000_d_2_seed_7,asc,2.0,20,825524.8309453926,7.82606840133667
23,Syn_n_50000_d_2_seed_7,asc,2.0,50,825512.1282970611,8.4524405002594
24,Syn_n_50000_d_2_seed_7,asc,5.0,5,825573.7358912674,2.7167513370513916
25,Syn_n_50000_d_2_seed_7,asc,5.0,10,825525.487087659,3.312127113342285
26,Syn_n_50000_d_2_seed_7,asc,5.0,20,825527.8037843637,4.2307093143463135
27,Syn_n_50000_d_2_seed_7,asc,5.0,50,825528.9997963861,4.927788019180298
28,Syn_n_50000_d_2_seed_7,asc,10.0,5,825553.5869516428,2.14725661277771
29,Syn_n_50000_d_2_seed_7,asc,10.0,10,825540.4407987593,2.988330602645874
30,Syn_n_50000_d_2_seed_7,asc,10.0,20,825530.8435255553,3.3879384994506836
31,Syn_n_50000_d_2_seed_7,asc,10.0,50,825536.0897478684,3.4298274517059326
