,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_1,asc,1.01,5,822987.5582959519,74.58431029319763
1,Syn_n_50000_d_2_seed_1,asc,1.01,10,822981.0347796255,71.45661187171936
2,Syn_n_50000_d_2_seed_1,asc,1.01,20,822968.0658165796,69.04989457130432
3,Syn_n_50000_d_2_seed_1,asc,1.01,50,822968.0658165796,68.92836809158325
4,Syn_n_50000_d_2_seed_1,asc,1.05,5,823016.6106903898,23.01183295249939
5,Syn_n_50000_d_2_seed_1,asc,1.05,10,822997.7061933132,26.03736162185669
6,Syn_n_50000_d_2_seed_1,asc,1.05,20,822977.1912314122,25.75163197517395
7,Syn_n_50000_d_2_seed_1,asc,1.05,50,822977.1912314101,28.662991285324097
8,Syn_n_50000_d_2_seed_1,asc,1.1,5,823027.5961915465,11.230688333511353
9,Syn_n_50000_d_2_seed_1,asc,1.1,10,822995.9862126163,15.051318645477295
10,Syn_n_50000_d_2_seed_1,asc,1.1,20,822977.191231413,14.143142700195312
11,Syn_n_50000_d_2_seed_1,asc,1.1,50,822977.1912314107,19.023149728775024
12,Syn_n_50000_d_2_seed_1,asc,1.2,5,823029.0222067527,6.1395790576934814
13,Syn_n_50000_d_2_seed_1,asc,1.2,10,822995.9862126164,7.618512868881226
14,Syn_n_50000_d_2_seed_1,asc,1.2,20,822977.191231413,8.49729871749878
15,Syn_n_50000_d_2_seed_1,asc,1.2,50,822977.1912314107,11.116019010543823
16,Syn_n_50000_d_2_seed_1,asc,1.5,5,823045.8822509461,2.550180196762085
17,Syn_n_50000_d_2_seed_1,asc,1.5,10,822995.9862126166,3.832313299179077
18,Syn_n_50000_d_2_seed_1,asc,1.5,20,822977.1912314133,5.173804044723511
19,Syn_n_50000_d_2_seed_1,asc,1.5,50,822977.1912314108,6.815625190734863
20,Syn_n_50000_d_2_seed_1,asc,2.0,5,823056.2743804416,1.945817232131958
21,Syn_n_50000_d_2_seed_1,asc,2.0,10,823006.0635057765,3.083782196044922
22,Syn_n_50000_d_2_seed_1,asc,2.0,20,822993.6295058213,3.8945837020874023
23,Syn_n_50000_d_2_seed_1,asc,2.0,50,822988.126311273,5.145240068435669
24,Syn_n_50000_d_2_seed_1,asc,5.0,5,823079.2419801229,1.9663159847259521
25,Syn_n_50000_d_2_seed_1,asc,5.0,10,823002.7934112195,2.973047971725464
26,Syn_n_50000_d_2_seed_1,asc,5.0,20,823005.6760502113,2.3137848377227783
27,Syn_n_50000_d_2_seed_1,asc,5.0,50,822995.0912332385,2.9141881465911865
28,Syn_n_50000_d_2_seed_1,asc,10.0,5,823056.657984231,1.2556400299072266
29,Syn_n_50000_d_2_seed_1,asc,10.0,10,823014.1992122659,1.591742992401123
30,Syn_n_50000_d_2_seed_1,asc,10.0,20,822995.0912332407,2.1442983150482178
31,Syn_n_50000_d_2_seed_1,asc,10.0,50,822995.0912332395,2.429494857788086
