,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_2,asc,1.01,5,827593.311453121,67.52345776557922
1,Syn_n_50000_d_2_seed_2,asc,1.01,10,827595.8738633685,67.43972969055176
2,Syn_n_50000_d_2_seed_2,asc,1.01,20,827595.8738633685,68.66218304634094
3,Syn_n_50000_d_2_seed_2,asc,1.01,50,827594.6289099324,63.98064088821411
4,Syn_n_50000_d_2_seed_2,asc,1.05,5,827637.1372829184,15.980989217758179
5,Syn_n_50000_d_2_seed_2,asc,1.05,10,827628.4071022372,17.324800491333008
6,Syn_n_50000_d_2_seed_2,asc,1.05,20,827605.0791458545,19.73284411430359
7,Syn_n_50000_d_2_seed_2,asc,1.05,50,827601.6411496226,21.0344078540802
8,Syn_n_50000_d_2_seed_2,asc,1.1,5,827660.2932228125,7.234453439712524
9,Syn_n_50000_d_2_seed_2,asc,1.1,10,827634.0470647237,9.004512310028076
10,Syn_n_50000_d_2_seed_2,asc,1.1,20,827605.0791458547,11.616063356399536
11,Syn_n_50000_d_2_seed_2,asc,1.1,50,827601.6411496231,13.281095027923584
12,Syn_n_50000_d_2_seed_2,asc,1.2,5,827660.2932228125,3.745380163192749
13,Syn_n_50000_d_2_seed_2,asc,1.2,10,827652.5686058982,4.78522801399231
14,Syn_n_50000_d_2_seed_2,asc,1.2,20,827611.3647520728,7.0112199783325195
15,Syn_n_50000_d_2_seed_2,asc,1.2,50,827609.1717092777,8.449750185012817
16,Syn_n_50000_d_2_seed_2,asc,1.5,5,827666.577952376,1.66554594039917
17,Syn_n_50000_d_2_seed_2,asc,1.5,10,827668.7010253597,2.6334574222564697
18,Syn_n_50000_d_2_seed_2,asc,1.5,20,827611.6930722859,3.72214937210083
19,Syn_n_50000_d_2_seed_2,asc,1.5,50,827609.5000294892,4.899044752120972
20,Syn_n_50000_d_2_seed_2,asc,2.0,5,827666.2496321638,1.36238431930542
21,Syn_n_50000_d_2_seed_2,asc,2.0,10,827665.7323951765,2.2818684577941895
22,Syn_n_50000_d_2_seed_2,asc,2.0,20,827609.1717092791,2.979031801223755
23,Syn_n_50000_d_2_seed_2,asc,2.0,50,827609.1717092791,3.8925886154174805
24,Syn_n_50000_d_2_seed_2,asc,5.0,5,827666.2496321657,0.9006202220916748
25,Syn_n_50000_d_2_seed_2,asc,5.0,10,827636.190164864,1.5040793418884277
26,Syn_n_50000_d_2_seed_2,asc,5.0,20,827608.1016585808,1.7795259952545166
27,Syn_n_50000_d_2_seed_2,asc,5.0,50,827606.8567051447,2.286912441253662
28,Syn_n_50000_d_2_seed_2,asc,10.0,5,827646.3528281868,0.9544732570648193
29,Syn_n_50000_d_2_seed_2,asc,10.0,10,827640.4701545346,1.5683140754699707
30,Syn_n_50000_d_2_seed_2,asc,10.0,20,827610.3371796925,1.9976603984832764
31,Syn_n_50000_d_2_seed_2,asc,10.0,50,827614.1608841975,2.407560110092163
