,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_8,asc,1.01,5,821202.4359859573,91.41705870628357
1,Syn_n_50000_d_2_seed_8,asc,1.01,10,821202.4359859598,89.61128306388855
2,Syn_n_50000_d_2_seed_8,asc,1.01,20,821199.6800717991,91.36172008514404
3,Syn_n_50000_d_2_seed_8,asc,1.01,50,821201.9669838401,90.89943933486938
4,Syn_n_50000_d_2_seed_8,asc,1.05,5,821202.435985958,26.180902004241943
5,Syn_n_50000_d_2_seed_8,asc,1.05,10,821202.4359859591,28.008089303970337
6,Syn_n_50000_d_2_seed_8,asc,1.05,20,821199.6800717991,28.921772480010986
7,Syn_n_50000_d_2_seed_8,asc,1.05,50,821201.9669838403,30.972869396209717
8,Syn_n_50000_d_2_seed_8,asc,1.1,5,821265.7898866094,14.241017580032349
9,Syn_n_50000_d_2_seed_8,asc,1.1,10,821210.3881713487,16.63756799697876
10,Syn_n_50000_d_2_seed_8,asc,1.1,20,821208.1736392542,18.280665636062622
11,Syn_n_50000_d_2_seed_8,asc,1.1,50,821201.966983841,18.832195520401
12,Syn_n_50000_d_2_seed_8,asc,1.2,5,821300.3989334905,8.08189582824707
13,Syn_n_50000_d_2_seed_8,asc,1.2,10,821228.072608334,10.953246355056763
14,Syn_n_50000_d_2_seed_8,asc,1.2,20,821219.1183481789,11.619948863983154
15,Syn_n_50000_d_2_seed_8,asc,1.2,50,821202.2264357244,14.753539800643921
16,Syn_n_50000_d_2_seed_8,asc,1.5,5,821301.7566365891,5.335728883743286
17,Syn_n_50000_d_2_seed_8,asc,1.5,10,821225.8084469088,7.5029566287994385
18,Syn_n_50000_d_2_seed_8,asc,1.5,20,821222.2380392847,8.358643770217896
19,Syn_n_50000_d_2_seed_8,asc,1.5,50,821202.2264357244,9.772992134094238
20,Syn_n_50000_d_2_seed_8,asc,2.0,5,821303.707972182,3.702063798904419
21,Syn_n_50000_d_2_seed_8,asc,2.0,10,821225.8084469091,5.507270574569702
22,Syn_n_50000_d_2_seed_8,asc,2.0,20,821222.2380392847,6.13159704208374
23,Syn_n_50000_d_2_seed_8,asc,2.0,50,821202.2264357246,6.726921081542969
24,Syn_n_50000_d_2_seed_8,asc,5.0,5,821230.9980932695,2.668905019760132
25,Syn_n_50000_d_2_seed_8,asc,5.0,10,821231.1669567346,3.7090487480163574
26,Syn_n_50000_d_2_seed_8,asc,5.0,20,821213.2771854247,3.690099000930786
27,Syn_n_50000_d_2_seed_8,asc,5.0,50,821202.2264357251,3.807840347290039
28,Syn_n_50000_d_2_seed_8,asc,10.0,5,821227.778087111,2.531233549118042
29,Syn_n_50000_d_2_seed_8,asc,10.0,10,821228.6956839821,2.7237155437469482
30,Syn_n_50000_d_2_seed_8,asc,10.0,20,821238.0659819082,2.725705862045288
31,Syn_n_50000_d_2_seed_8,asc,10.0,50,821254.7981528686,2.8862807750701904
