,dataset_name,method,theta,max,SSE,Total_time
58,Syn_n_50000_d_2_seed_1,asc,5.0,20.0,823005.6760502113,2.3137848377227783
59,Syn_n_50000_d_2_seed_1,asc,5.0,50.0,822995.0912332385,2.9141881465911865
60,Syn_n_50000_d_2_seed_1,asc,10.0,5.0,823056.657984231,1.2556400299072266
61,Syn_n_50000_d_2_seed_1,asc,10.0,10.0,823014.1992122659,1.591742992401123
62,Syn_n_50000_d_2_seed_1,asc,10.0,20.0,822995.0912332407,2.1442983150482178
63,Syn_n_50000_d_2_seed_1,asc,10.0,50.0,822995.0912332395,2.429494857788086
64,Syn_n_50000_d_2_seed_2,asc,1.01,5.0,827593.311453121,67.52345776557922
65,Syn_n_50000_d_2_seed_2,asc,1.01,10.0,827595.8738633685,67.43972969055176
66,Syn_n_50000_d_2_seed_2,asc,1.01,20.0,827595.8738633685,68.66218304634094
67,Syn_n_50000_d_2_seed_2,asc,1.01,50.0,827594.6289099324,63.98064088821411
68,Syn_n_50000_d_2_seed_2,asc,1.05,5.0,827637.1372829184,15.980989217758179
69,Syn_n_50000_d_2_seed_2,asc,1.05,10.0,827628.4071022372,17.324800491333008
70,Syn_n_50000_d_2_seed_2,asc,1.05,20.0,827605.0791458545,19.73284411430359
71,Syn_n_50000_d_2_seed_2,asc,1.05,50.0,827601.6411496226,21.0344078540802
72,Syn_n_50000_d_2_seed_2,asc,1.1,5.0,827660.2932228125,7.234453439712524
73,Syn_n_50000_d_2_seed_2,asc,1.1,10.0,827634.0470647237,9.004512310028076
74,Syn_n_50000_d_2_seed_2,asc,1.1,20.0,827605.0791458547,11.616063356399536
75,Syn_n_50000_d_2_seed_2,asc,1.1,50.0,827601.6411496231,13.281095027923584
76,Syn_n_50000_d_2_seed_2,asc,1.2,5.0,827660.2932228125,3.745380163192749
77,Syn_n_50000_d_2_seed_2,asc,1.2,10.0,827652.5686058982,4.78522801399231
78,Syn_n_50000_d_2_seed_2,asc,1.2,20.0,827611.3647520728,7.0112199783325195
