,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,x_108,normalized_50k,3,1,10,246.51002412603555,8.590025424957275,246.51002412603466,23.251806020736694,2.706837857916159,3.5741872788591055e-13
1,x_108,normalized_50k,3,64,10,246.51002412603555,5.784745216369629,246.51002412603466,22.618131399154663,3.9099615545988167,3.5741872788591055e-13
2,x_108,normalized_50k,4,1,10,238.74513500546004,15.089672565460205,238.74513500545893,35.19190430641174,2.3321847544236927,4.642803162294434e-13
3,x_108,normalized_50k,4,64,10,238.74513500546004,10.891836404800415,238.74513500545893,33.95823884010315,3.117769821178783,4.642803162294434e-13
4,x_108,normalized_50k,5,1,10,235.2778587729714,22.72820806503296,235.27785877297174,46.08431124687195,2.027626248185049,-1.4496073491299066e-13
5,x_108,normalized_50k,5,64,10,235.28837351971458,14.611891031265259,235.27785877297174,45.90782904624939,3.1418129897095315,0.004469076179832302
6,x_108,normalized_50k,6,1,10,229.9071609741679,30.06615114212036,229.90716097416873,57.86126518249512,1.9244653201199386,-3.585053940857121e-13
7,x_108,normalized_50k,6,64,10,229.9071609741679,19.074491024017334,229.90716097416873,58.407328367233276,3.0620648432343827,-3.585053940857121e-13
8,x_108,normalized_50k,7,1,10,225.30279894395196,34.960031032562256,225.3027989439527,69.58601474761963,1.9904448792624427,-3.2798724589938724e-13
9,x_108,normalized_50k,7,64,10,225.30279894395196,20.349567651748657,225.3027989439527,69.72553277015686,3.4263889023787333,-3.2798724589938724e-13
10,x_108,normalized_50k,8,1,10,221.83552271146368,41.409207344055176,221.83552271146547,80.62950921058655,1.9471396431393404,-8.07160040118727e-13
11,x_108,normalized_50k,8,64,10,221.8460374582069,21.889451265335083,221.83552271146547,80.50677108764648,3.6778798203653413,0.004739884132577576
12,x_108,normalized_50k,9,1,10,219.14657600120339,45.76524877548218,219.14657600120395,92.88837170600891,2.0296704200540043,-2.5938538442186624e-13
13,x_108,normalized_50k,9,64,10,219.14657600120339,23.396419525146484,219.14657600120395,93.889151096344,4.012970916145177,-2.5938538442186624e-13
14,x_108,normalized_50k,10,1,10,215.6792997687151,51.529234886169434,215.67929976871673,104.72338795661926,2.0323101669946833,-7.511325561935116e-13
15,x_108,normalized_50k,10,64,10,215.68981451545832,25.677284955978394,215.67929976871673,103.92265582084656,4.047260292473035,0.004875176594539799
16,x_108,normalized_50k,11,1,10,213.31323589618304,57.9381628036499,213.31323589618466,115.29575514793396,1.989979481031641,-7.59464095477633e-13
17,x_108,normalized_50k,11,64,10,213.31323589618304,26.382432222366333,213.31323589618466,115.76241445541382,4.387859825800044,-7.59464095477633e-13
18,x_108,normalized_50k,12,1,10,211.10855833253754,64.54737305641174,211.1085583325389,127.28971695899963,1.9720355907862226,-6.462277339369794e-13
19,x_108,normalized_50k,12,64,10,211.11907307928078,28.913658618927002,211.1085583325389,128.049574136734,4.428688040638074,0.004980729736836704
20,x_108,normalized_50k,13,1,10,208.74249446000545,72.15611910820007,208.74249446000684,138.78504276275635,1.923399490965477,-6.671683049934128e-13
21,x_108,normalized_50k,13,64,10,208.74249446000545,30.030936241149902,208.74249446000684,139.53563809394836,4.646396535008775,-6.671683049934128e-13
22,x_108,normalized_50k,14,1,10,207.34144110385697,76.07705187797546,207.34144110385947,150.42853045463562,1.9773180839856537,-1.2062761870275226e-12
23,x_108,normalized_50k,14,64,10,207.38197578279255,32.31068778038025,207.34144110385947,152.31379342079163,4.714037486793453,0.01954972373939501
24,x_108,normalized_50k,15,1,10,205.5653067746901,81.62470507621765,205.55915914078346,163.79653549194336,2.0067029380258976,0.0029906883898204602
25,x_108,normalized_50k,15,64,10,205.5696738875261,33.672932147979736,205.55915914078346,162.24030995368958,4.818122438542183,0.005115192524913018
26,x_108,normalized_50k,16,1,10,203.19309526825063,85.82703900337219,203.19309526825137,175.72644710540771,2.0474485563751457,-3.636759626181876e-13
27,x_108,normalized_50k,16,64,10,203.19309526825077,36.50236392021179,203.19309526825137,172.71528434753418,4.7316191555446,-2.937382774993054e-13
28,x_108,normalized_50k,17,1,10,201.79204191210263,93.01043319702148,201.79204191210403,186.3625557422638,2.003673666883123,-6.901480102453241e-13
29,x_108,normalized_50k,17,64,10,201.83257659103836,35.48468375205994,201.79204191210403,184.02222204208374,5.185962014707289,0.0200873525785479
30,x_108,normalized_50k,18,1,10,200.33717313176336,98.75200319290161,200.33717313176365,197.551372051239,2.000479642578422,-1.4186937444560415e-13
31,x_108,normalized_50k,18,64,10,200.37770781069898,37.00965619087219,200.33717313176365,200.00846409797668,5.404223780584738,0.020233228961791434
32,x_108,normalized_50k,19,1,10,198.9361197756157,101.91771101951599,198.9361197756163,207.57058143615723,2.0366487763486956,-3.000238964707308e-13
33,x_108,normalized_50k,19,64,10,198.97665445455132,38.82235097885132,198.9361197756163,207.90625143051147,5.355323574910996,0.020375726127933636
34,x_108,normalized_50k,20,1,10,197.60602375562144,109.7223436832428,197.60602375562306,218.02811360359192,1.9870894686046519,-8.198320105547535e-13
35,x_108,normalized_50k,20,64,10,197.64655843455716,39.62751030921936,197.60602375562306,220.91649222373962,5.574826440013399,0.020512876158186782
