,dataset_name,method,k,SSE,Total_time
0,Syn_n_10000_d_2_seed_3,basic,3,164374.4721618481,1.9527781009674072
1,Syn_n_10000_d_2_seed_3,basic,5,164201.69895943187,3.7788915634155273
2,Syn_n_10000_d_2_seed_3,basic,10,163784.424000788,7.889905214309692
3,Syn_n_10000_d_2_seed_3,basic,20,162978.46095572496,16.914270162582397
4,Syn_n_10000_d_2_seed_3,asc,3,164374.47216184807,0.17752647399902344
5,Syn_n_10000_d_2_seed_3,asc,5,164201.69895943187,0.508638858795166
6,Syn_n_10000_d_2_seed_3,asc,10,163784.42400078799,1.5518465042114258
7,Syn_n_10000_d_2_seed_3,asc,20,162978.4609557247,3.5126049518585205
