,dataset_name,method,k,SSE,Total_time
0,Syn_n_10000_d_2_seed_7,basic,3,164477.8299041407,1.837085485458374
1,Syn_n_10000_d_2_seed_7,basic,5,164311.256714981,3.4816880226135254
2,Syn_n_10000_d_2_seed_7,basic,10,163878.25243961197,7.76033091545105
3,Syn_n_10000_d_2_seed_7,basic,20,163080.59981218894,16.62554955482483
4,Syn_n_10000_d_2_seed_7,asc,3,164478.4915659763,0.26329565048217773
5,Syn_n_10000_d_2_seed_7,asc,5,164316.94535498272,0.5465395450592041
6,Syn_n_10000_d_2_seed_7,asc,10,163886.66535923877,0.9714000225067139
7,Syn_n_10000_d_2_seed_7,asc,20,163097.0256438428,2.3427340984344482
