,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_100000_d_2_seed_0,asc,3.0,1651193.469789423,10.493927001953125
1,Syn_n_100000_d_2_seed_0,asc,5.0,1650996.0997394333,39.548930644989014
2,Syn_n_100000_d_2_seed_0,asc,10.0,1650502.3720075113,92.637291431427
3,Syn_n_100000_d_2_seed_0,asc,20.0,1649535.415495387,200.1182234287262
4,Syn_n_100000_d_2_seed_1,asc,3.0,1651359.3458868435,47.072874307632446
5,Syn_n_100000_d_2_seed_1,asc,5.0,1651152.5004422376,93.22218799591064
6,Syn_n_100000_d_2_seed_1,asc,10.0,1650623.959649111,153.61306643486023
7,Syn_n_100000_d_2_seed_1,asc,20.0,1649658.8328202015,222.46121621131897
8,Syn_n_100000_d_2_seed_2,asc,3.0,1655202.7331325565,41.80006718635559
9,Syn_n_100000_d_2_seed_2,asc,5.0,1654982.7110293605,125.19000625610352
10,Syn_n_100000_d_2_seed_2,asc,10.0,1654450.4719319092,254.26153540611267
11,Syn_n_100000_d_2_seed_2,asc,20.0,1653455.9900616643,340.4937334060669
12,Syn_n_100000_d_2_seed_3,asc,3.0,1654004.149154482,29.596380710601807
13,Syn_n_100000_d_2_seed_3,asc,5.0,1653791.0614887034,113.8958351612091
14,Syn_n_100000_d_2_seed_3,asc,10.0,1653271.6111137136,210.91449356079102
15,Syn_n_100000_d_2_seed_3,asc,20.0,1652292.4976307312,309.62657022476196
16,Syn_n_100000_d_2_seed_4,asc,3.0,1657378.3217145463,3.8253817558288574
17,Syn_n_100000_d_2_seed_4,asc,5.0,1657150.6011426786,50.78425931930542
18,Syn_n_100000_d_2_seed_4,asc,10.0,1656591.7228295908,121.84654593467712
19,Syn_n_100000_d_2_seed_4,asc,20.0,1655639.704557648,177.11223888397217
