,dataset_name,method,k,theta,max,SSE,Total_time,allSSEsBasic,allSSEsAccelerated,speed_up,Gap
0,01,asc,20,1,10,81.34442830982535,6.653206825256348,"[141.34425712 138.04801792 133.09613583 131.12298744 126.20162048
 124.6608144  119.80608448 118.2652784  113.52324169 112.01604234
 107.3174897  105.81534711 101.14477381  99.71245373  95.04188043
  93.54452482  88.9446773   87.44163144  82.91850891  81.34442831]","(141.3442571161037, 138.04801791641827, 133.09613582739846, 131.12298744413292, 126.20162047643362, 124.66081439949184, 119.80608447933545, 118.26527840239368, 113.52324169152216, 112.01604234341214, 107.3174896985998, 105.81534711280729, 101.14477381227265, 99.71245373245058, 95.04188043191594, 93.54452482329337, 88.94467729880459, 87.44163144293665, 82.91850890600254, 81.34442830982535)",1.3384865216165431,-1.746997921120738e-13
1,01,asc,20,2,10,81.34442830982535,4.558415412902832,"[141.34425712 138.04801792 133.09613583 131.12298744 126.20162048
 124.6608144  119.80608448 118.2652784  113.52324169 112.01604234
 107.3174897  105.81534711 101.14477381  99.71245373  95.04188043
  93.54452482  88.9446773   87.44163144  82.91850891  81.34442831]","(141.3442571161037, 138.04801791641827, 133.09613582739846, 131.12298744413292, 126.20162047643362, 124.66081439949184, 119.80608447933545, 118.26527840239368, 113.52324169152216, 112.01604234341214, 107.33755696272432, 105.81534711280729, 101.14477381227265, 99.71245373245058, 95.04188043191594, 93.54452482329337, 88.94467729880459, 87.44163144293667, 82.91850890600254, 81.34442830982535)",1.9546551195697768,-1.746997921120738e-13
