,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,x_108,normalized_50k,3,1,10,246.51002412603555,11.26596450805664,246.51002412603466,29.667162656784058,2.6333442321399247,3.5741872788591055e-13
1,x_108,normalized_50k,3,2,10,246.51002412603555,11.963510274887085,246.51002412603466,29.19157862663269,2.4400512856088308,3.5741872788591055e-13
2,x_108,normalized_50k,3,4,10,246.51002412603555,11.018530130386353,246.51002412603466,30.824557781219482,2.7975199429017357,3.5741872788591055e-13
3,x_108,normalized_50k,3,8,10,246.51002412603555,9.88356614112854,246.51002412603466,29.415531635284424,2.9762062817465655,3.5741872788591055e-13
4,x_108,normalized_50k,3,16,10,246.51002412603555,8.892217874526978,246.51002412603466,29.490633726119995,3.316454245976148,3.5741872788591055e-13
5,x_108,normalized_50k,3,32,10,246.51002412603555,10.210690975189209,246.51002412603466,29.098175525665283,2.8497753576491998,3.5741872788591055e-13
6,x_108,normalized_50k,3,64,10,246.51002412603555,9.162494421005249,246.51002412603466,30.038684844970703,3.2784396327823417,3.5741872788591055e-13
7,x_108,normalized_50k,5,1,10,235.2778587729714,35.38838791847229,235.27785877297174,59.13883018493652,1.671136597721842,-1.4496073491299066e-13
8,x_108,normalized_50k,5,2,10,235.28400640687875,27.767733335494995,235.27785877297174,59.944183349609375,2.1587712120882334,0.0026129249641537815
9,x_108,normalized_50k,5,4,10,235.28400640687875,25.855847597122192,235.27785877297174,57.59266138076782,2.2274520749874007,0.0026129249641537815
10,x_108,normalized_50k,5,8,10,235.28400640687875,22.81548571586609,235.27785877297174,57.773481369018555,2.5322047528816083,0.0026129249641537815
11,x_108,normalized_50k,5,16,10,235.28400640687875,23.643798828125,235.27785877297174,58.043760538101196,2.4549253256653674,0.0026129249641537815
12,x_108,normalized_50k,5,32,10,235.28837351971458,32.02833819389343,235.27785877297174,65.75396347045898,2.0529932921401377,0.004469076179832302
13,x_108,normalized_50k,5,64,10,235.28837351971458,22.037611484527588,235.27785877297174,63.93729758262634,2.901280732148135,0.004469076179832302
14,x_108,normalized_50k,10,1,10,215.6792997687151,89.5410487651825,215.67929976871673,131.64306950569153,1.4701979854057747,-7.511325561935116e-13
15,x_108,normalized_50k,10,2,10,215.68544740262246,56.03353500366211,215.67929976871673,132.68899154663086,2.3680282091422376,0.002850358802313844
16,x_108,normalized_50k,10,4,10,215.68544740262246,48.24123787879944,215.67929976871673,131.17589926719666,2.719165283377699,0.002850358802313844
17,x_108,normalized_50k,10,8,10,215.68544740262246,45.52899765968323,215.67929976871673,129.18007636070251,2.8373143051882708,0.002850358802313844
18,x_108,normalized_50k,10,16,10,215.68544740262246,42.04149317741394,215.67929976871673,130.98876953125,3.115702122626354,0.002850358802313844
19,x_108,normalized_50k,10,32,10,215.68981451545832,38.75075149536133,215.67929976871673,129.11526918411255,3.331942328900856,0.004875176594539799
20,x_108,normalized_50k,10,64,10,215.68981451545832,38.0257830619812,215.67929976871673,127.66753268241882,3.3573939154474086,0.004875176594539799
21,x_108,normalized_50k,20,1,10,197.60602375562144,157.04263138771057,197.60602375562306,269.20894622802734,1.714241183105229,-8.198320105547535e-13
22,x_108,normalized_50k,20,2,10,197.60602375562144,107.71444416046143,197.60602375562306,270.19258522987366,2.5084155364286125,-8.198320105547535e-13
23,x_108,normalized_50k,20,4,10,197.6096094248313,86.9833710193634,197.60602375562306,262.17906427383423,3.0141285765467796,0.0018145546072366346
24,x_108,normalized_50k,20,8,10,197.6138595145994,76.57812905311584,197.60602375562306,266.59163665771484,3.4813025592829843,0.003965344187094091
25,x_108,normalized_50k,20,16,10,197.64655843455716,66.07431960105896,197.60602375562306,263.09141969680786,3.9817499640600365,0.020512876158186782
26,x_108,normalized_50k,20,32,10,197.64655843455716,62.849695920944214,197.60602375562306,269.15836477279663,4.282572267515164,0.020512876158186782
27,x_108,normalized_50k,20,64,10,197.64655843455716,56.45401859283447,197.60602375562306,264.63438272476196,4.687609302597125,0.020512876158186782
