,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,sel102,asc,3,1,10,8161.795026073385,160.57346439361572,8161.795026073418,522.8284893035889,3.2560080289603324,-4.011594160258797e-13
1,sel102,asc,3,2,10,8161.795026073385,133.93401074409485,8161.795026073418,508.71426820755005,3.7982456090226453,-4.011594160258797e-13
2,sel102,asc,3,4,10,8161.795026073385,124.87951469421387,8161.795026073418,509.68170976638794,4.08138765604927,-4.011594160258797e-13
3,sel102,asc,3,8,10,8161.795026073385,120.94713425636292,8161.795026073418,510.69740104675293,4.22248451099523,-4.011594160258797e-13
4,sel102,asc,3,16,10,8161.795026073385,116.9921133518219,8161.795026073418,510.1979537010193,4.360960231282753,-4.011594160258797e-13
5,sel102,asc,3,32,10,8161.795026073385,116.2600736618042,8161.795026073418,508.88721108436584,4.377145094236719,-4.011594160258797e-13
6,sel102,asc,3,64,10,8161.795026073385,111.60302352905273,8161.795026073418,508.7842469215393,4.558875116757849,-4.011594160258797e-13
7,sel102,asc,5,1,10,8130.740521684689,478.43381690979004,8130.740521684803,1026.5615329742432,2.1456709302131207,-1.3982347292772606e-12
8,sel102,asc,5,2,10,8130.740521684689,333.9519073963165,8130.740521684803,1057.3768920898438,3.1662549866349603,-1.3982347292772606e-12
9,sel102,asc,5,4,10,8130.740521684689,394.50722575187683,8130.740521684803,1196.6848604679108,3.0333661397131397,-1.3982347292772606e-12
10,sel102,asc,5,8,10,8130.740521684689,353.4846212863922,8130.740521684803,1168.424877166748,3.305447555015678,-1.3982347292772606e-12
11,sel102,asc,5,16,10,8130.740521684689,338.72603702545166,8130.740521684803,1142.3349449634552,3.372445044363746,-1.3982347292772606e-12
12,sel102,asc,5,32,10,8130.740521684689,272.7751159667969,8130.740521684803,1050.738807439804,3.8520332168704994,-1.3982347292772606e-12
13,sel102,asc,5,64,10,8130.740521684689,275.3270628452301,8130.740521684803,1070.770061969757,3.889083953115318,-1.3982347292772606e-12
14,sel102,asc,10,1,10,8060.046114569061,1154.7504415512085,8060.046114569266,2395.9206326007843,2.074838464129338,-2.5501814714079496e-12
15,sel102,asc,10,2,10,8060.046114569061,765.3390345573425,8060.046114569266,2370.9886887073517,3.097958658385543,-2.5501814714079496e-12
16,sel102,asc,10,4,10,8060.046114569061,674.357266664505,8060.046114569266,2321.5513949394226,3.4426134479461346,-2.5501814714079496e-12
17,sel102,asc,10,8,10,8060.046114569061,589.9601855278015,8060.046114569266,2284.238575696945,3.8718520871936057,-2.5501814714079496e-12
18,sel102,asc,10,16,10,8060.046114569061,563.4614174365997,8060.046114569266,2285.553225517273,4.056272807311499,-2.5501814714079496e-12
19,sel102,asc,10,32,10,8060.046114569061,553.8358421325684,8060.046114569266,2290.528246641159,4.135753001866732,-2.5501814714079496e-12
20,sel102,asc,10,64,10,8060.046114569061,514.1947686672211,8060.046114569266,2346.1074607372284,4.562682476949883,-2.5501814714079496e-12
21,sel102,asc,20,1,10,7982.927158057501,2272.8704302310944,7982.927158057581,4729.771432161331,2.080968351407709,-1.0025837912755307e-12
22,sel102,asc,20,2,10,7982.927158057501,1429.9088940620422,7982.927158057581,4748.728799343109,3.3210009526222772,-1.0025837912755307e-12
23,sel102,asc,20,4,10,7982.927158057501,1140.9804980754852,7982.927158057581,4761.327331781387,4.173013771762457,-1.0025837912755307e-12
24,sel102,asc,20,8,10,7982.927158057501,992.9394333362579,7982.927158057581,4733.793438673019,4.76745436805502,-1.0025837912755307e-12
25,sel102,asc,20,16,10,7982.927158057501,833.086189031601,7982.927158057581,4716.597363948822,5.661595914141256,-1.0025837912755307e-12
26,sel102,asc,20,32,10,7982.927158057501,775.2887787818909,7982.927158057581,4441.722613811493,5.729120213490239,-1.0025837912755307e-12
27,sel102,asc,20,64,10,7982.927158057501,736.6663196086884,7982.927158057581,4412.861077070236,5.9903119765463355,-1.0025837912755307e-12
